"Град","Код","Име","БЕЛ","МАТ"
"София","2201400","Професионална гимназия по туризъм Алеко Константинов","3.71","4.38"
"София","2201078","78. Средно училище Христо Смирненски","3.83","4.28"
"София","2215170","170 Средно училище Васил Левски","4.13","4.34"
"София","2211557","Духовно Училище Софийска духовна семинария Св. Иван Рилски","4.03","4.67"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","5.31","4.58"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","2.35","0.00"
"София","2902101","Национално музикално училище Любомир Пипков","4.74","5.07"
"София","2902301","Национално училище за танцово изкуство","4.45","0.00"
"София","2902401","Национално училище за изящни изкуства Илия Петров","4.64","4.03"
"София","2902501","НАЦИОНАЛНА ГИМНАЗИЯ ЗА ПРИЛОЖНИ ИЗКУСТВА СВЕТИ ЛУКА - СОФИЯ","4.52","4.95"
"София","2902601","Национална професионална гимназия по полиграфия и фотография","4.57","3.14"
"София","2902701","Национален учебен комплекс по култура с лицей за изучаване на италиански език и култура с участието на Република Италия","5.17","5.22"
"София","2902702","Национална гимназия за древни езици и култури Константин Кирил Философ","5.36","5.24"
"София","2202401","Професионална гимназия по екология и биотехнологии Проф. д-р Асен Златаров","4.21","4.09"
"София","2204402","НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА М. В. Ломоносов","4.42","4.65"
"София","2204403","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ","3.08","3.26"
"София","2204405","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА","3.18","3.82"
"София","2205407","СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА Джон Атанасов","4.58","4.67"
"София","2205408","Софийска професионална гимназия Княгиня Евдокия","3.45","3.81"
"София","2206409","Професионална гимназия по транспорт и енергетика Хенри Форд","3.60","3.87"
"София","2206410","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ А. С. ПОПОВ","3.79","4.12"
"София","2207412","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ","3.36","3.67"
"София","2208413","Софийска гимназия по хлебни и сладкарски технологии","3.35","3.44"
"София","2211417","Професионална гимназия по облекло Княгиня Мария Луиза","4.02","3.62"
"София","2211419","СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ХРИСТО БОТЕВ","4.94","4.79"
"София","2211420","НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ","4.85","4.94"
"София","2213350","Технологично училище Електронни системи към Технически Университет - София","5.11","5.22"
"София","2216422","Професионална гимназия по механоелектротехника Н.Й.Вапцаров","3.47","3.87"
"София","2216423","СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ","4.22","4.70"
"София","2217424","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА","4.09","4.52"
