"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","603071","Професионална гимназия ""Димитраки Хаджитошин""","29152","Строителство и архитектура","65","0","0","391","0","0"
"2026","1","603071","Професионална гимназия ""Димитраки Хаджитошин""","29155","Интериорен и екстериорен дизайн","169","0","0","413","0","0"
"2026","1","603071","Професионална гимназия ""Димитраки Хаджитошин""","29158","Устойчива мода","116","0","0","274","0","0"
"2026","1","603067","Професионална гимназия по търговия и ресторантьорство","28948","Готварство","100.5","0","0","278","0","0"
"2026","1","603067","Професионална гимназия по търговия и ресторантьорство","28953","Ресторантьорство и кетъринг","43","0","0","265","0","0"
"2026","1","603065","Професионална техническа гимназия ""Н. Й. Вапцаров""","29969","Компютърни системи и технологии","134","0","0","304","0","0"
"2026","1","603065","Професионална техническа гимназия ""Н. Й. Вапцаров""","30009","Автомобилна техника и мехатроника","165","0","0","286","0","0"
"2026","1","603065","Професионална техническа гимназия ""Н. Й. Вапцаров""","30011","Автоматизирани системи и технологии в машиностроенето","109","0","0","256","0","0"
"2026","1","603065","Професионална техническа гимназия ""Н. Й. Вапцаров""","30012","Индустриална мехатроника","138","0","0","253.5","0","0"
"2026","1","603065","Професионална техническа гимназия ""Н. Й. Вапцаров""","30013","Електроснабдяване и електрообзавеждане","101","0","0","271","0","0"
"2026","1","600061","Профилирана езикова гимназия ""Йоан Екзарх""","01664","Чужди езици","283.5","0","0","438","0","0"
"2026","1","600061","Профилирана езикова гимназия ""Йоан Екзарх""","29572","Графичен дизайн","299","0","0","422","0","0"
"2026","1","602062","Профилирана природо-математическа гимназия ""Академик Иван Ценов""","01798","Математика и информатика","381","0","0","484","0","0"
"2026","1","602062","Профилирана природо-математическа гимназия ""Академик Иван Ценов""","01801","Математика и физика и астрономия","331","0","0","470","0","0"
"2026","1","602062","Профилирана природо-математическа гимназия ""Академик Иван Ценов""","01806","Биология и ЗО и химия и ООС","388","0","0","483","0","0"
"2026","1","602062","Профилирана природо-математическа гимназия ""Академик Иван Ценов""","28933","Разработка на софтуер","299.5","0","0","452","0","0"
"2026","1","603059","Средно училище ""Васил Кънчов""","01186","Хуманитарни науки","269.5","0","0","466.25","0","0"
"2026","1","603059","Средно училище ""Васил Кънчов""","29727","Предприемачески","266","0","0","437","0","0"
"2026","1","600327","Средно училище ""Козма Тричков""","29356","Мениджмънт и икономика","297","0","0","419.25","0","0"
"2026","1","603070","Средно училище ""Никола Войводов""","29948","Икономическа информатика","261","0","0","387.5","0","0"
"2026","1","603057","Средно училище ""Отец Паисий""","29850","Рекламна графика","161.5","0","0","370","0","0"
"2026","1","603057","Средно училище ""Отец Паисий""","29852","Танцово изкуство - Български народни танци","41","0","0","340.5","0","0"
"2026","1","603058","Средно училище ""Христо Ботев""","01205","Обществени науки","305.5","0","0","396","0","0"
