"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","909107","Езикова гимназия ""Христо Ботев""","02232","Чужди езици ИИ - Английски език - Немски език","297","312.5","297","460.5","430.5","460.5"
"2026","1","909107","Езикова гимназия ""Христо Ботев""","02233","Чужди езици ИИ - Английски език - Френски език","238","238","238","377","345","377"
"2026","1","909107","Езикова гимназия ""Христо Ботев""","02235","Чужди езици ИИ - Немски език - Английски език","245.5","245.5","255","472.5","443","472.5"
"2026","1","909110","Професионална гимназия ""Васил Левски""","28752","Автомобилна техника и мехатроника","78","78","0","128","128","0"
"2026","1","909110","Професионална гимназия ""Васил Левски""","28754","Социални дейности","38","38","116","161","72","161"
"2026","1","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28142","Автоматизация и управляваща техника дневна форма","54","54","0","118","118","0"
"2026","1","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28141","Автоматизация и управляваща техника дуална форма","60","60","0","328","328","0"
"2026","1","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28120","Автомобилна техника и мехатроника","103","103","0","299","299","0"
"2026","1","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28117","Електроснабдяване и електрообзавеждане дневна форма","91","91","0","257","257","0"
"2026","1","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28114","Електроснабдяване и електрообзавеждане дуална форма","162.5","162.5","0","346.5","346.5","0"
"2026","1","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28118","Компютърни системи и технологии","77","77","143","365","365","143"
"2026","1","909108","Професионална гимназия по икономика ""Алеко Константинов""","29442","Банково, застрахователно и осигурително дело","72","82","72","287.5","137","287.5"
"2026","1","909108","Професионална гимназия по икономика ""Алеко Константинов""","29440","Икономическа информатика","108","108","130","408","408","289"
"2026","1","909108","Професионална гимназия по икономика ""Алеко Константинов""","29443","Мениджмънт и икономика","73","81","73","345.5","345.5","297"
"2026","1","909108","Професионална гимназия по икономика ""Алеко Константинов""","29437","Оперативно счетоводство","87","87","97","410.5","238","410.5"
"2026","1","909111","Професионална гимназия по облекло и дизайн ""Евридика""","28110","Фризьорство","30","30","54","200","200","198"
"2026","1","909113","Професионална гимназия по селско и горско стопанство","28922","""Помощник-възпитател""","61","0","61","261","0","261"
"2026","1","909113","Професионална гимназия по селско и горско стопанство","28917","Помощник-възпитател","30","0","30","186","0","186"
"2026","1","909113","Професионална гимназия по селско и горско стопанство","28909","Стопанисване на горите","48","48","72","300","300","72"
"2026","1","909113","Професионална гимназия по селско и горско стопанство","28912","Фермерство","30","30","83","110","110","83"
"2026","1","909114","Професионална гимназия по строителство ""Христо Смирненски""","29162","Парково строителство","54","58","54","81","81","60"
"2026","1","909114","Професионална гимназия по строителство ""Христо Смирненски""","29161","Строителство и архитектура","84","84","131.5","244.5","194.5","244.5"
"2026","1","909109","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","29237","Готвач","67","67","92","216","121","216"
"2026","1","909109","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","29240","Ресторантьор","58.5","58.5","215.5","215.5","111","215.5"
"2026","1","909101","Средно училище ""Владимир Димитров - Майстора""","02990","Изобразително изкуство","163","163","298","389.5","377.25","389.5"
"2026","1","909101","Средно училище ""Владимир Димитров - Майстора""","02991","Музика","226","296","226","411.75","301","411.75"
"2026","1","909103","Средно училище ""Йордан Йовков""","02978","Предприемачество - ИИАЕ","221.5","221.5","224","408","348","408"
"2026","1","909103","Средно училище ""Йордан Йовков""","02980","Предприемачество - ИИНЕ","157","157","168","316.5","316.5","270.5"
"2026","1","909105","Средно училище ""Отец Паисий"" с природоматематическа насоченост","02998","МАТЕМАТИЧЕСКИ Мат.-Инф-ИТ-АЕ","239","239","258","425.5","425.5","416"
"2026","1","909105","Средно училище ""Отец Паисий"" с природоматематическа насоченост","03000","ПРИРОДНИ НАУКИ БЗО-ХООС-ИТ-АЕ","229","237","229","387","387","341.5"
"2026","1","909105","Средно училище ""Отец Паисий"" с природоматематическа насоченост","02999","СОФТУЕРНИ И ХАРДУЕРНИ НАУКИ Инф-ИТ-АЕ-БЗО","310","310","324.5","430","402","430"
"2026","1","909106","Средно училище ""Петко Рачов Славейков""","28580","Професия ""Графичен дизайнер""","224.5","239.5","224.5","446.5","384","446.5"
"2026","1","909106","Средно училище ""Петко Рачов Славейков""","02950","Профил ""Обществени науки""","188.5","188.5","193","439.5","321","439.5"
"2026","2","909107","Езикова гимназия ""Христо Ботев""","02232","Чужди езици ИИ - Английски език - Немски език","286","286","287","287","286","287"
"2026","2","909107","Езикова гимназия ""Христо Ботев""","02233","Чужди езици ИИ - Английски език - Френски език","226","226","229","275.5","275.5","245"
"2026","2","909107","Езикова гимназия ""Христо Ботев""","02235","Чужди езици ИИ - Немски език - Английски език","232","238","232","240.5","240.5","232"
"2026","2","909110","Професионална гимназия ""Васил Левски""","28752","Автомобилна техника и мехатроника","0","0","0","0","0","0"
"2026","2","909110","Професионална гимназия ""Васил Левски""","28754","Социални дейности","0","0","0","0","0","0"
"2026","2","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28142","Автоматизация и управляваща техника дневна форма","0","0","0","0","0","0"
"2026","2","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28141","Автоматизация и управляваща техника дуална форма","0","0","0","0","0","0"
"2026","2","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28120","Автомобилна техника и мехатроника","161","161","0","161","161","0"
"2026","2","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28117","Електроснабдяване и електрообзавеждане дневна форма","137","137","0","194","194","0"
"2026","2","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28114","Електроснабдяване и електрообзавеждане дуална форма","0","0","0","0","0","0"
"2026","2","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28118","Компютърни системи и технологии","54","54","0","163","163","0"
"2026","2","909108","Професионална гимназия по икономика ""Алеко Константинов""","29442","Банково, застрахователно и осигурително дело","73","0","73","73","0","73"
"2026","2","909108","Професионална гимназия по икономика ""Алеко Константинов""","29440","Икономическа информатика","87","87","142","175","175","169"
"2026","2","909108","Професионална гимназия по икономика ""Алеко Константинов""","29443","Мениджмънт и икономика","86","86","0","86","86","0"
"2026","2","909108","Професионална гимназия по икономика ""Алеко Константинов""","29437","Оперативно счетоводство","74","82","74","152","152","101.5"
"2026","2","909111","Професионална гимназия по облекло и дизайн ""Евридика""","28110","Фризьорство","0","0","0","0","0","0"
"2026","2","909113","Професионална гимназия по селско и горско стопанство","28922","""Помощник-възпитател""","0","0","0","0","0","0"
"2026","2","909113","Професионална гимназия по селско и горско стопанство","28917","Помощник-възпитател","0","0","0","0","0","0"
"2026","2","909113","Професионална гимназия по селско и горско стопанство","28909","Стопанисване на горите","89","89","0","89","89","0"
"2026","2","909113","Професионална гимназия по селско и горско стопанство","28912","Фермерство","0","0","0","0","0","0"
"2026","2","909114","Професионална гимназия по строителство ""Христо Смирненски""","29162","Парково строителство","0","0","0","0","0","0"
"2026","2","909114","Професионална гимназия по строителство ""Христо Смирненски""","29161","Строителство и архитектура","0","0","0","0","0","0"
"2026","2","909109","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","29237","Готвач","0","0","0","0","0","0"
"2026","2","909109","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","29240","Ресторантьор","0","0","0","0","0","0"
"2026","2","909101","Средно училище ""Владимир Димитров - Майстора""","02990","Изобразително изкуство","249","249","0","249","249","0"
"2026","2","909101","Средно училище ""Владимир Димитров - Майстора""","02991","Музика","0","0","0","0","0","0"
"2026","2","909103","Средно училище ""Йордан Йовков""","02978","Предприемачество - ИИАЕ","215","221.5","215","224.5","224.5","215"
"2026","2","909103","Средно училище ""Йордан Йовков""","02980","Предприемачество - ИИНЕ","148","157","148","214","157","214"
"2026","2","909105","Средно училище ""Отец Паисий"" с природоматематическа насоченост","02998","МАТЕМАТИЧЕСКИ Мат.-Инф-ИТ-АЕ","0","0","0","0","0","0"
"2026","2","909105","Средно училище ""Отец Паисий"" с природоматематическа насоченост","03000","ПРИРОДНИ НАУКИ БЗО-ХООС-ИТ-АЕ","229","0","229","238","0","238"
"2026","2","909105","Средно училище ""Отец Паисий"" с природоматематическа насоченост","02999","СОФТУЕРНИ И ХАРДУЕРНИ НАУКИ Инф-ИТ-АЕ-БЗО","0","0","0","0","0","0"
"2026","2","909106","Средно училище ""Петко Рачов Славейков""","28580","Професия ""Графичен дизайнер""","0","0","0","0","0","0"
"2026","2","909106","Средно училище ""Петко Рачов Славейков""","02950","Профил ""Обществени науки""","188.5","188.5","211","226","188.5","226"
"2026","3","909107","Езикова гимназия ""Христо Ботев""","02232","Чужди езици ИИ - Английски език - Немски език","0","0","0","0","0","0"
"2026","3","909107","Езикова гимназия ""Христо Ботев""","02233","Чужди езици ИИ - Английски език - Френски език","388","0","388","388","0","388"
"2026","3","909107","Езикова гимназия ""Христо Ботев""","02235","Чужди езици ИИ - Немски език - Английски език","0","0","0","0","0","0"
"2026","3","909110","Професионална гимназия ""Васил Левски""","28752","Автомобилна техника и мехатроника","0","0","0","0","0","0"
"2026","3","909110","Професионална гимназия ""Васил Левски""","28754","Социални дейности","160","0","160","160","0","160"
"2026","3","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28142","Автоматизация и управляваща техника дневна форма","78","78","0","131","131","0"
"2026","3","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28141","Автоматизация и управляваща техника дуална форма","152","152","0","152","152","0"
"2026","3","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28120","Автомобилна техника и мехатроника","0","0","0","0","0","0"
"2026","3","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28117","Електроснабдяване и електрообзавеждане дневна форма","0","0","0","0","0","0"
"2026","3","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28114","Електроснабдяване и електрообзавеждане дуална форма","0","0","0","0","0","0"
"2026","3","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","28118","Компютърни системи и технологии","0","0","0","0","0","0"
"2026","3","909108","Професионална гимназия по икономика ""Алеко Константинов""","29442","Банково, застрахователно и осигурително дело","53","53","76","143","100","143"
"2026","3","909108","Професионална гимназия по икономика ""Алеко Константинов""","29440","Икономическа информатика","163","163","0","163","163","0"
"2026","3","909108","Професионална гимназия по икономика ""Алеко Константинов""","29443","Мениджмънт и икономика","134","0","134","134","0","134"
"2026","3","909108","Професионална гимназия по икономика ""Алеко Константинов""","29437","Оперативно счетоводство","0","0","0","0","0","0"
"2026","3","909111","Професионална гимназия по облекло и дизайн ""Евридика""","28110","Фризьорство","100","100","0","187","187","0"
"2026","3","909113","Професионална гимназия по селско и горско стопанство","28922","""Помощник-възпитател""","98","0","98","190","0","190"
"2026","3","909113","Професионална гимназия по селско и горско стопанство","28917","Помощник-възпитател","0","0","0","0","0","0"
"2026","3","909113","Професионална гимназия по селско и горско стопанство","28909","Стопанисване на горите","99","99","0","99","99","0"
"2026","3","909113","Професионална гимназия по селско и горско стопанство","28912","Фермерство","136","136","0","136","136","0"
"2026","3","909114","Професионална гимназия по строителство ""Христо Смирненски""","29162","Парково строителство","0","0","0","0","0","0"
"2026","3","909114","Професионална гимназия по строителство ""Христо Смирненски""","29161","Строителство и архитектура","0","0","0","0","0","0"
"2026","3","909109","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","29237","Готвач","0","0","0","0","0","0"
"2026","3","909109","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","29240","Ресторантьор","120","120","155","155","120","155"
"2026","3","909101","Средно училище ""Владимир Димитров - Майстора""","02990","Изобразително изкуство","0","0","0","0","0","0"
"2026","3","909101","Средно училище ""Владимир Димитров - Майстора""","02991","Музика","0","0","0","0","0","0"
"2026","3","909103","Средно училище ""Йордан Йовков""","02978","Предприемачество - ИИАЕ","0","0","0","0","0","0"
"2026","3","909103","Средно училище ""Йордан Йовков""","02980","Предприемачество - ИИНЕ","167.5","167.5","0","167.5","167.5","0"
